trigE,trigM,lep_n,jet_n,met_et,met_phi,lep_pt_0,lep_pt_1,lep_eta_0,lep_eta_1,lep_E_0,lep_E_1,lep_phi_0,lep_phi_1,lep_charge_0,lep_charge_1,lep_type_0,lep_type_1,lep_ptcone30_0,lep_ptcone30_1,lep_etcone20_0,lep_etcone20_1,lep_isTightID_0,lep_isTightID_1,jet_pt,jet_eta,jet_phi,jet_E,jet_MV2c10,sample,mLL,pTll,dphi_ll,dphi_ll_met
True,False,2,1,48872.47,0.32393777,29422.71484375,17662.404296875,-1.6751015186309814,-0.837298572063446,81304.171875,24224.185546875,2.544508218765259,-2.88987398147583,1,-1,11,13,0.0,0.0,-967.7890625,-306.9561767578125,1,1,23103.4921875,-1.2297050952911377,-1.783229947090149,43272.68359375,-0.9031665921211243,Higgs,27.18588766458777,43.18038236545744,0.8488031069384974,2.532587242093454
True,True,2,1,35026.855,0.7580358,63854.19140625,31069.634765625,1.0445678234100342,1.6446062326431274,101975.640625,83453.953125,-2.4425153732299805,-2.411468505859375,1,-1,13,11,0.0,0.0,-356.57318115234375,-540.7667236328125,1,1,50117.07421875,1.2836984395980835,0.6993557214736938,97894.7109375,-0.6192145943641663,Higgs,27.164460001889594,94.91375351460434,0.03104686737060547,3.0927957641291677
True,False,2,1,60491.305,0.54099864,29649.28515625,25029.041015625,1.0460916757583618,0.9159516096115112,47406.54296875,36283.19921875,2.160040855407715,-2.8735294342041016,-1,1,13,11,0.0,0.0,-566.9685668945312,-604.8128662109375,1,1,35297.29296875,-1.059007167816162,-1.301068902015686,57300.375,-0.8918688297271729,Higgs,32.066074973497955,44.430534000916964,1.2496150175677698,2.1829852703892065
True,False,2,0,33497.664,-2.9213257,25620.576171875,21325.130859375,0.9883813858032227,0.9530660510063171,39187.4453125,31766.1640625,0.7815203666687012,-0.13432703912258148,1,-1,11,13,0.0,0.0,-1148.956298828125,-636.0276489257812,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,20.683494095224145,42.15179663475615,0.9158474057912827,2.993197215650353
True,False,2,0,54395.31,2.1586099,34431.0703125,28306.861328125,-0.32578158378601074,-0.03977266326546669,36274.43359375,28329.44921875,-0.6753842234611511,-1.1862627267837524,-1,1,11,13,0.0,0.0,-196.92913818359375,-1031.8468017578125,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,18.142858106507685,60.72195637683971,0.5108785033226013,3.0639471070254127
True,False,2,0,40859.387,-1.6165041,27352.775390625,20274.78125,-0.12247734516859055,0.45441174507141113,27558.1875,22404.568359375,1.1954329013824463,1.7436654567718506,1,-1,11,13,0.0,0.0,-241.95474243164062,-374.135009765625,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,18.769279765776318,45.889387861897866,0.5482325553894043,3.04428882412586
True,False,2,1,71848.68,-2.3781419,54005.62890625,17105.53125,1.1326744556427002,1.1337242126464844,92514.8046875,29327.9609375,1.3022428750991821,-0.4881645739078522,-1,1,11,13,0.0,0.0,-175.84573364257812,-477.6899108886719,1,1,24658.806640625,-1.8540278673171997,0.30765706300735474,80810.0,-0.7022284865379333,Higgs,47.43509904671323,52.97838705745059,1.7904074490070343,2.9233865368713463
False,True,2,1,36664.95,2.5416632,82497.0,22609.583984375,0.21558262407779694,-0.7932080030441284,84421.5625,30103.162109375,-0.5686757564544678,-0.12381645292043686,1,-1,13,11,0.0,0.0,-388.3787536621094,-361.2314453125,1,1,66934.171875,-0.43674618005752563,2.71555233001709,73777.96875,-0.9239605069160461,Higgs,49.27244441792855,103.364956679696,0.4448593035340309,3.016070735032919
True,False,2,0,37005.83,-1.8442508,25266.84375,19573.58203125,2.3361804485321045,1.774335265159607,131872.171875,59366.34375,0.5000903606414795,1.1324142217636108,-1,1,11,13,0.0,0.0,-933.8040161132812,-251.73675537109375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,18.748602187916305,42.65469002498504,0.6323238611221313,2.6189915173036127
False,True,2,1,61679.18,-0.73153186,33832.234375,33439.71484375,-0.7103449106216431,-1.3898937702178955,42732.9453125,71285.6171875,2.459444284439087,1.9204891920089722,-1,1,11,13,0.0,0.0,-636.9136352539062,-1378.9859619140625,1,1,25075.466796875,-1.6393299102783203,-2.2621588706970215,67201.8046875,-0.9148089289665222,Higgs,29.38706733798418,64.84419682536407,0.5389550924301147,2.923110146982305
True,False,2,0,71257.875,1.366754,28774.068359375,22884.037109375,0.9162183403968811,0.8604075312614441,41720.2109375,31890.380859375,-1.0459274053573608,-2.530972719192505,-1,1,11,13,0.0,0.0,-85.32560729980469,-171.1793212890625,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,34.73032105609413,38.26769153612132,1.485045313835144,3.0509448635512246
True,True,2,1,38132.504,-2.2685583,43145.765625,30124.267578125,0.5655825734138489,0.8205522298812866,50232.50390625,40847.77734375,-0.24252629280090332,0.9826026558876038,-1,1,11,13,0.0,0.0,-408.67205810546875,-578.357666015625,1,1,24230.833984375,-2.3621718883514404,1.6673550605773926,129807.0625,0.04640919342637062,Higgs,42.4695043667414,60.41351533972128,1.225128948688507,2.5143488055086802
